epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.66426,2.30748,3.82613,2.03536,0.004,0.75,0.05389,0.02157,2.53607,4.09348,2.4749,2e-05,2e-05,2e-05
2,3.93445,2.3186,3.8072,1.99481,0.004,0.75,0.04281,0.01712,2.56749,4.07301,2.46362,5.9703e-05,5.9703e-05,5.9703e-05
3,5.03095,2.13609,3.59204,1.95487,0.00433,0.8125,0.09592,0.03522,2.46766,3.98572,2.36005,9.901e-05,9.901e-05,9.901e-05
4,6.19131,2.03579,3.44864,1.82042,0.004,0.75,0.04513,0.01908,2.35068,3.99114,2.27495,0.000137921,0.000137921,0.000137921
5,7.38771,2.04507,3.37099,1.80527,0.004,0.75,0.0548,0.01835,2.30299,3.878,2.2529,0.000176436,0.000176436,0.000176436
6,8.61507,2.10903,3.47722,1.86977,0.004,0.75,0.16136,0.03769,2.30119,3.74616,2.30494,0.000214555,0.000214555,0.000214555
7,9.81902,1.94461,2.96479,1.67859,0.004,0.75,0.15078,0.05279,2.29105,3.74227,2.34052,0.000252278,0.000252278,0.000252278
8,11.035,1.841,2.79888,1.68214,0.00433,0.8125,0.16036,0.05643,2.19407,3.60478,2.27751,0.000289605,0.000289605,0.000289605
9,12.2555,1.82483,2.64427,1.59601,0.00433,0.8125,0.04301,0.02082,2.05632,3.69392,2.19291,0.000326536,0.000326536,0.000326536
10,13.4691,1.89107,2.74855,1.66291,0.00433,0.8125,0.07092,0.0243,2.10635,3.74859,2.21812,0.000363071,0.000363071,0.000363071
11,14.681,1.85402,2.80839,1.61568,0.00367,0.6875,0.08264,0.01639,2.13863,3.87863,2.23156,0.00039921,0.00039921,0.00039921
12,15.843,1.84291,2.61046,1.5681,0.00367,0.6875,0.13007,0.0239,2.23947,3.86307,2.31601,0.000434953,0.000434953,0.000434953
13,17.0999,1.81171,2.59562,1.59659,0.004,0.75,0.19317,0.07261,2.11994,3.69166,2.01975,0.0004703,0.0004703,0.0004703
14,18.3937,1.79216,2.40632,1.44998,0.004,0.75,0.36161,0.07666,2.1051,3.45468,1.90531,0.000505251,0.000505251,0.000505251
15,19.6566,1.73083,2.76953,1.58659,0.004,0.75,0.37601,0.08273,2.20006,3.37426,1.90856,0.000539806,0.000539806,0.000539806
16,20.8996,1.73386,2.41407,1.53006,0.004,0.75,0.23998,0.06083,2.2973,3.55302,2.12131,0.000573965,0.000573965,0.000573965
