epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.91422,1.08299,3.42578,1.57956,0.00869,0.80303,0.12225,0.06779,1.05499,3.70912,1.72713,2e-05,2e-05,2e-05
2,4.18213,1.11738,3.37357,1.56204,0.00855,0.88636,0.13539,0.09075,0.83901,3.6741,1.54041,4.9505e-05,4.9505e-05,4.9505e-05
3,5.51932,1.08198,3.36734,1.60977,0.01203,0.9697,0.2238,0.14735,0.71107,3.65209,1.45269,7.8416e-05,7.8416e-05,7.8416e-05
4,6.89098,0.76409,3.13867,1.36813,0.01802,1,0.28919,0.16388,0.79855,3.67454,1.54447,0.000106733,0.000106733,0.000106733
5,8.21676,0.73786,2.91999,1.33673,0.01527,0.9697,0.36876,0.21039,0.90822,3.63241,1.66312,0.000134456,0.000134456,0.000134456
6,9.47649,0.78232,2.77563,1.3282,0.01461,0.9697,0.38513,0.231,0.89905,3.5487,1.67132,0.000161585,0.000161585,0.000161585
7,10.7161,0.76553,2.61176,1.33779,0.01661,0.9697,0.3716,0.25022,0.90054,3.45717,1.63562,0.00018812,0.00018812,0.00018812
8,11.9948,0.83603,2.34814,1.36831,0.01961,0.93939,0.39624,0.25105,0.91799,3.43307,1.63614,0.000214061,0.000214061,0.000214061
9,13.2654,0.92748,2.31958,1.42624,0.04149,0.9697,0.38086,0.25393,0.95547,3.3258,1.62401,0.000239408,0.000239408,0.000239408
10,14.5444,0.82299,2.309,1.35392,0.07095,0.9697,0.36572,0.23321,0.99398,3.3336,1.65892,0.000264161,0.000264161,0.000264161
11,15.8438,0.79402,2.28375,1.36518,0.10711,0.85606,0.34049,0.21081,0.97227,3.26433,1.70428,0.00028832,0.00028832,0.00028832
12,17.1244,0.91363,2.11249,1.38323,0.09173,0.85606,0.39303,0.2216,1.02777,3.19192,1.70277,0.000311885,0.000311885,0.000311885
13,18.3813,0.79622,1.85233,1.24649,0.06424,0.93939,0.41182,0.22627,1.10501,2.98299,1.83838,0.000334856,0.000334856,0.000334856
14,19.5766,0.73301,1.93362,1.29078,0.59931,0.4,0.38921,0.23467,1.10023,2.86008,1.8453,0.000357233,0.000357233,0.000357233
15,20.8705,0.66244,1.70986,1.27089,0.61202,0.27931,0.40661,0.25968,1.20343,2.70824,2.05487,0.000379016,0.000379016,0.000379016
16,22.1339,0.71778,1.63563,1.22538,0.64623,0.38544,0.41956,0.2548,1.28952,2.66115,2.25838,0.000400205,0.000400205,0.000400205
17,23.4607,0.72113,1.76661,1.2688,0.56721,0.53333,0.41099,0.26777,1.21326,2.46476,2.07071,0.0004208,0.0004208,0.0004208
18,24.7179,0.65452,1.57084,1.22077,0.72398,0.46614,0.45246,0.2921,1.18298,2.46519,2.02344,0.000440801,0.000440801,0.000440801
19,25.9647,0.71868,1.60244,1.24835,0.61218,0.51142,0.48081,0.31063,1.07513,2.50043,1.87416,0.000460208,0.000460208,0.000460208
20,27.2036,0.66638,1.48945,1.19527,0.28948,0.54705,0.49705,0.30038,0.99835,2.60733,1.74556,0.000479021,0.000479021,0.000479021
21,28.4531,0.79252,1.62707,1.31668,0.4041,0.3208,0.49191,0.31072,1.07044,2.58457,1.80714,0.00049724,0.00049724,0.00049724
22,29.7091,0.63643,1.43894,1.24804,0.47544,0.48788,0.464,0.31584,1.22543,2.34051,1.90511,0.000514865,0.000514865,0.000514865
23,30.9684,0.77739,1.46146,1.30441,0.47582,0.56464,0.54804,0.35394,1.31836,2.07208,1.94407,0.000531896,0.000531896,0.000531896
24,32.2683,0.73362,1.5006,1.27654,0.55939,0.45152,0.60645,0.38282,1.35552,2.14404,2.0596,0.000548333,0.000548333,0.000548333
25,33.5093,0.73072,1.45344,1.25783,0.54867,0.55739,0.55596,0.33979,1.40588,2.1904,2.11971,0.000564176,0.000564176,0.000564176
26,34.7624,0.67654,1.33567,1.19797,0.6107,0.6146,0.63922,0.35011,1.38233,2.1693,2.11845,0.000579425,0.000579425,0.000579425
27,36.0124,0.5733,1.21751,1.14588,0.43665,0.70674,0.55902,0.32208,1.39921,2.1327,2.09241,0.00059408,0.00059408,0.00059408
28,37.2913,0.65545,1.31466,1.21371,0.49891,0.80373,0.73007,0.44178,1.34814,1.92289,2.15522,0.000608141,0.000608141,0.000608141
29,38.5088,0.70744,1.24726,1.21533,0.49891,0.80373,0.73007,0.44178,1.34814,1.92289,2.15522,0.000621608,0.000621608,0.000621608
30,39.7856,0.66025,1.16564,1.20606,0.47023,0.73995,0.72305,0.46888,1.28813,2.36569,2.18918,0.000634481,0.000634481,0.000634481
31,41.0234,0.70013,1.26719,1.22913,0.42295,0.77586,0.68041,0.43949,1.23691,2.56296,2.13877,0.00064676,0.00064676,0.00064676
32,42.2454,0.58765,1.21994,1.14347,0.50303,0.7066,0.67695,0.40904,1.26913,2.21848,2.1219,0.000658445,0.000658445,0.000658445
33,43.4759,0.57005,1.21905,1.19133,0.50303,0.7066,0.67695,0.40904,1.26913,2.21848,2.1219,0.000669536,0.000669536,0.000669536
34,44.7278,0.57971,1.10767,1.16177,0.56395,0.56724,0.58574,0.34467,1.25064,2.27541,1.95845,0.0006733,0.0006733,0.0006733
35,45.9445,0.66406,1.23131,1.24752,0.25703,0.59545,0.38158,0.2247,1.23445,2.42458,1.92901,0.0006634,0.0006634,0.0006634
36,47.1662,0.67451,1.24099,1.21716,0.32282,0.46212,0.36208,0.20383,1.3137,2.5602,2.11389,0.0006535,0.0006535,0.0006535
37,48.3949,0.6163,1.05725,1.16135,0.32282,0.46212,0.36208,0.20383,1.3137,2.5602,2.11389,0.0006436,0.0006436,0.0006436
38,49.646,0.67072,1.16978,1.24922,0.45245,0.59796,0.46032,0.24512,1.34004,2.36852,2.16662,0.0006337,0.0006337,0.0006337
39,50.8774,0.68126,1.19006,1.22963,0.61832,0.60038,0.60507,0.32924,1.33409,2.46727,2.0682,0.0006238,0.0006238,0.0006238
40,52.1119,0.5996,1.15436,1.19441,0.56966,0.65659,0.66427,0.42193,1.18753,2.2382,1.81958,0.0006139,0.0006139,0.0006139
41,53.2858,0.60089,1.10849,1.20937,0.56966,0.65659,0.66427,0.42193,1.18753,2.2382,1.81958,0.000604,0.000604,0.000604
42,54.5171,0.5477,1.01774,1.13152,0.5809,0.68485,0.67705,0.44175,1.14618,2.26136,1.74243,0.0005941,0.0005941,0.0005941
43,55.7575,0.6146,1.00138,1.18702,0.59526,0.71506,0.73508,0.49249,1.12148,2.02032,1.67781,0.0005842,0.0005842,0.0005842
44,56.9934,0.68252,1.11566,1.20847,0.7345,0.53346,0.68382,0.44164,1.19754,1.91323,1.75852,0.0005743,0.0005743,0.0005743
45,58.1815,0.56762,0.96824,1.1177,0.7345,0.53346,0.68382,0.44164,1.19754,1.91323,1.75852,0.0005644,0.0005644,0.0005644
46,59.4639,0.59298,1.05362,1.17751,0.59766,0.6104,0.66636,0.41826,1.33869,1.87359,1.95618,0.0005545,0.0005545,0.0005545
47,60.7381,0.53527,1.00217,1.0988,0.61402,0.77447,0.71684,0.45022,1.4451,1.71558,2.20639,0.0005446,0.0005446,0.0005446
48,61.9913,0.54725,0.97196,1.12859,0.75861,0.79213,0.80247,0.48251,1.47967,1.56768,2.30517,0.0005347,0.0005347,0.0005347
49,63.1455,0.51775,0.94083,1.14836,0.75861,0.79213,0.80247,0.48251,1.47967,1.56768,2.30517,0.0005248,0.0005248,0.0005248
50,64.3176,0.55262,0.97401,1.11867,0.80366,0.68982,0.8023,0.4965,1.43322,1.48211,2.25145,0.0005149,0.0005149,0.0005149
51,65.5615,0.53057,1.01599,1.13724,0.77091,0.73305,0.81168,0.5085,1.39286,1.47265,2.17634,0.000505,0.000505,0.000505
52,66.8029,0.59897,0.98089,1.1282,0.65543,0.75582,0.80979,0.5166,1.36844,1.5705,2.13232,0.0004951,0.0004951,0.0004951
53,67.9557,0.5849,1.03397,1.14131,0.65543,0.75582,0.80979,0.5166,1.36844,1.5705,2.13232,0.0004852,0.0004852,0.0004852
54,69.2094,0.65221,1.05034,1.19326,0.58352,0.71212,0.80153,0.52592,1.41345,1.7301,2.12589,0.0004753,0.0004753,0.0004753
55,70.396,0.4979,0.89238,1.07017,0.53063,0.72248,0.79394,0.51003,1.48792,1.7296,2.22357,0.0004654,0.0004654,0.0004654
56,71.5532,0.53449,0.9415,1.10937,0.50268,0.74089,0.77417,0.45439,1.62324,1.97695,2.42098,0.0004555,0.0004555,0.0004555
57,72.675,0.56925,0.98541,1.1592,0.50268,0.74089,0.77417,0.45439,1.62324,1.97695,2.42098,0.0004456,0.0004456,0.0004456
58,73.8862,0.5613,0.96602,1.11146,0.56988,0.69394,0.76039,0.41554,1.7273,2.1618,2.67513,0.0004357,0.0004357,0.0004357
59,75.0488,0.58986,0.91915,1.1186,0.77506,0.6,0.71136,0.37512,1.64516,2.10954,2.64528,0.0004258,0.0004258,0.0004258
60,76.2654,0.56491,0.9146,1.12729,0.80232,0.51667,0.63049,0.37754,1.49508,2.07498,2.38924,0.0004159,0.0004159,0.0004159
61,77.4319,0.52865,0.85481,1.0936,0.80232,0.51667,0.63049,0.37754,1.49508,2.07498,2.38924,0.000406,0.000406,0.000406
62,78.6171,0.54232,0.93546,1.1778,0.8045,0.51326,0.61648,0.39638,1.28773,2.01561,2.08463,0.0003961,0.0003961,0.0003961
63,79.8407,0.47363,0.91595,1.0954,0.78804,0.51633,0.66587,0.46762,1.24186,1.95255,1.96775,0.0003862,0.0003862,0.0003862
64,81.0478,0.5599,0.94584,1.1258,0.54491,0.78788,0.76425,0.52201,1.17982,1.75682,1.858,0.0003763,0.0003763,0.0003763
65,82.2282,0.51747,0.86025,1.06697,0.54491,0.78788,0.76425,0.52201,1.17982,1.75682,1.858,0.0003664,0.0003664,0.0003664
66,83.4418,0.50881,0.89962,1.12157,0.6556,0.73323,0.80787,0.59443,1.10899,1.56557,1.77302,0.0003565,0.0003565,0.0003565
67,84.6553,0.55458,0.93824,1.12381,0.70471,0.73511,0.80127,0.57679,1.13058,1.58278,1.81589,0.0003466,0.0003466,0.0003466
68,85.8846,0.51995,0.8413,1.06578,0.72466,0.68431,0.76501,0.54227,1.18654,1.68599,1.89725,0.0003367,0.0003367,0.0003367
69,87.0231,0.52066,0.92534,1.07242,0.72466,0.68431,0.76501,0.54227,1.18654,1.68599,1.89725,0.0003268,0.0003268,0.0003268
70,88.2397,0.52184,0.90767,1.151,0.67655,0.67335,0.78008,0.52775,1.20775,1.77646,1.89755,0.0003169,0.0003169,0.0003169
71,89.4659,0.50553,0.88157,1.10158,0.66643,0.69529,0.7816,0.51208,1.21078,1.69892,1.90103,0.000307,0.000307,0.000307
72,90.6889,0.49613,0.81821,1.06856,0.59428,0.77565,0.74638,0.49245,1.23539,1.77443,1.96507,0.0002971,0.0002971,0.0002971
73,91.8473,0.39924,0.77508,0.99316,0.59428,0.77565,0.74638,0.49245,1.23539,1.77443,1.96507,0.0002872,0.0002872,0.0002872
74,93.0431,0.4592,0.81078,1.03008,0.58365,0.70752,0.70916,0.47557,1.21258,1.87803,1.96602,0.0002773,0.0002773,0.0002773
75,94.2397,0.43018,0.73751,1.03455,0.57231,0.67522,0.68042,0.46544,1.20804,1.99087,1.96488,0.0002674,0.0002674,0.0002674
76,95.4651,0.40097,0.79886,1.0239,0.58808,0.6595,0.70431,0.4905,1.23154,2.08335,1.97067,0.0002575,0.0002575,0.0002575
77,96.6675,0.47397,0.78713,1.09411,0.58808,0.6595,0.70431,0.4905,1.23154,2.08335,1.97067,0.0002476,0.0002476,0.0002476
78,97.8207,0.40551,0.83651,1.06209,0.55474,0.67092,0.73241,0.52716,1.18781,2.05471,1.9255,0.0002377,0.0002377,0.0002377
79,99.0293,0.4517,0.82162,1.06574,0.68625,0.61023,0.74077,0.52824,1.18764,1.97446,1.95101,0.0002278,0.0002278,0.0002278
80,100.246,0.39074,0.69311,1.01732,0.59101,0.75249,0.75652,0.54292,1.2438,1.77719,2.06165,0.0002179,0.0002179,0.0002179
81,101.415,0.46401,0.73535,1.07012,0.59101,0.75249,0.75652,0.54292,1.2438,1.77719,2.06165,0.000208,0.000208,0.000208
82,102.641,0.38815,0.76431,1.03483,0.61681,0.75573,0.77543,0.53482,1.29852,1.66169,2.15808,0.0001981,0.0001981,0.0001981
83,103.864,0.42321,0.71045,1.03817,0.70493,0.72204,0.7815,0.53676,1.28238,1.57176,2.14506,0.0001882,0.0001882,0.0001882
