epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.38246,2.07087,3.74206,1.8447,0.004,0.75,0.05356,0.02146,2.52989,4.12267,2.48505,2e-05,2e-05,2e-05
2,3.47217,2.13084,3.68093,1.87505,0.004,0.75,0.06063,0.02754,2.54056,4.00686,2.44927,5.9703e-05,5.9703e-05,5.9703e-05
3,4.49245,1.79648,3.42861,1.7412,0.00433,0.8125,0.08887,0.0376,2.46472,4.01716,2.39712,9.901e-05,9.901e-05,9.901e-05
4,5.706,2.24279,3.54248,1.97447,0.00467,0.875,0.13495,0.06671,2.24348,3.96302,2.29043,0.000137921,0.000137921,0.000137921
5,7.09811,2.20467,3.4444,1.88912,0.00467,0.875,0.11249,0.05412,2.1158,3.75046,2.15679,0.000176436,0.000176436,0.000176436
6,8.24984,2.02199,3.13159,1.86041,0.00467,0.875,0.2701,0.10465,2.10443,3.53303,1.9583,0.000214555,0.000214555,0.000214555
7,9.41128,2.16593,3.11812,1.82686,0.00467,0.875,0.25891,0.12295,1.95731,3.44852,1.85505,0.000252278,0.000252278,0.000252278
8,10.5736,1.80518,2.68466,1.56488,0.00433,0.8125,0.33281,0.08012,2.16285,3.56525,2.00464,0.000289605,0.000289605,0.000289605
9,11.7618,2.11407,2.88352,1.63372,0.00467,0.875,0.30494,0.0804,2.06074,3.5609,1.99305,0.000326536,0.000326536,0.000326536
10,12.9107,1.84247,2.45468,1.62809,0.00433,0.8125,0.28953,0.06659,2.26129,3.61973,2.10993,0.000363071,0.000363071,0.000363071
11,14.0576,1.76062,2.79023,1.59826,0.00433,0.8125,0.03585,0.01187,2.50738,3.84095,2.28004,0.00039921,0.00039921,0.00039921
12,15.1908,1.80737,2.87571,1.62527,0.00367,0.6875,0.00639,0.00212,2.68764,4.1016,2.48599,0.000434953,0.000434953,0.000434953
13,16.3426,1.78059,2.42927,1.52214,0.00367,0.6875,0.00507,0.0016,2.74647,4.10276,2.56278,0.0004703,0.0004703,0.0004703
14,17.5226,1.8831,2.58436,1.67106,0.002,0.375,0.00321,0.00068,3.00622,4.15168,2.87664,0.000505251,0.000505251,0.000505251
