epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.99392,2.13249,3.62968,1.83578,0.004,0.75,0.06047,0.02429,2.52314,4.07795,2.46915,4e-05,4e-05,4e-05
2,4.22206,2.18541,3.4185,1.86721,0.00433,0.8125,0.13085,0.05242,2.55014,3.99104,2.36,9.901e-05,9.901e-05,9.901e-05
3,5.43694,1.77419,3.32246,1.74735,0.00467,0.875,0.16702,0.05795,2.19195,3.69353,2.08231,0.000156832,0.000156832,0.000156832
4,6.66459,1.93419,3.19421,1.84406,0.00467,0.875,0.27306,0.06895,2.25845,3.65125,2.10936,0.000213466,0.000213466,0.000213466
5,7.86095,1.6885,2.79603,1.55247,0.00433,0.8125,0.24832,0.07181,2.38018,3.57643,2.17149,0.000268912,0.000268912,0.000268912
6,9.0499,1.83289,2.73269,1.6677,0.00433,0.8125,0.35852,0.10473,2.23625,3.53969,2.00134,0.00032317,0.00032317,0.00032317
7,10.2476,1.78884,2.97627,1.65947,0.00433,0.8125,0.27118,0.07569,2.2047,3.67757,1.93557,0.00037624,0.00037624,0.00037624
